pair_id,resume_id,job_id,resume_text,job_description,label,category
d48aef57,R010,J009,"Junior Cloud Engineer with 1.5 years of experience on AWS. Familiar with EC2, S3, RDS, and IAM. Deployed containerised applications using Docker and ECS. Assisted in Terraform configurations for infrastructure provisioning. Completed AWS Cloud Practitioner certification. Basic knowledge of Python and Bash scripting for cloud automation.","Cloud Solutions Architect position. Requirements: 5+ years AWS experience, AWS Solutions Architect certification, serverless and container orchestration experience, Terraform or CloudFormation proficiency, experience with large-scale cloud migrations. Multi-cloud (Azure/GCP) experience is a plus.",1,Cloud Computing
7a40ed0d,R034,J026,"Corporate Lawyer with 6 years of experience in mergers & acquisitions, contract negotiation, and commercial law. Admitted to the bar in England and Wales. Experience drafting shareholder agreements, NDAs, and service contracts. Familiar with GDPR compliance and IP law. Proficient in legal research using LexisNexis and Westlaw.","Digital Marketing Manager needed. Requirements: SEO/SEM expertise, Google Analytics and Google Ads proficiency, budget management experience, email marketing tools, CRM experience (Salesforce preferred), strong analytical skills.",0,Legal
234b4c17,R006,J006,"Site Reliability Engineer with 3 years of experience maintaining high-availability systems. Skilled in Kubernetes orchestration, Helm charts, and Istio service mesh. Implemented alerting and on-call rotation using PagerDuty. Experienced with log aggregation using ELK Stack. Wrote runbooks for incident response. Strong background in Python scripting and Bash automation.","Site Reliability Engineer opening. Requirements: Kubernetes expertise, experience with service mesh technologies, strong incident response background, log management experience (ELK or similar), Python scripting, and on-call experience.",1,DevOps
2108513a,R019,J001,"Database Administrator with 6 years of experience managing PostgreSQL, MySQL, and Oracle databases. Expert in query optimisation, index management, and database design. Implemented database replication, backup strategies, and disaster recovery plans. Familiar with MongoDB and Redis for NoSQL use cases. Proficient in PL/SQL and Python scripting for automation. Experience with database performance monitoring tools.","We are looking for a Senior Software Engineer to join our backend team. Requirements: 5+ years Python and FastAPI experience, strong knowledge of Docker and Kubernetes, experience with MongoDB or PostgreSQL, familiarity with AWS cloud services, CI/CD pipeline experience, and excellent communication skills. Nice to have: React or Vue.js experience, microservices architecture knowledge.",0,Database Administration
03312638,R022,J021,"Junior Project Coordinator with 2 years of experience supporting software delivery. Familiar with Agile/Scrum ceremonies and Jira for task tracking. Assisted in sprint planning, retrospectives, and stakeholder updates. Strong communication and organisational skills. Background in business administration.","Senior Project Manager. Requirements: 6+ years software project management, PMP certification, Agile/Scrum experience, Jira and Confluence proficiency, stakeholder management, risk management experience. Healthcare or fintech background a plus.",1,Project Management
43b230f9,R016,J016,"Flutter Developer with 2 years of experience building cross-platform mobile apps. Proficient in Dart and the Flutter framework. Built e-commerce and fintech apps deployed to both iOS and Android. Familiar with state management using Riverpod and Bloc. Experience integrating payment gateways (Stripe, PayPal) and Firebase services.","Flutter Developer opening. Requires: Dart and Flutter proficiency, cross-platform mobile app experience, state management knowledge (Bloc or Riverpod), Firebase integration experience, payment gateway integration a plus.",1,Mobile Development
a7759220,R011,J006,"Machine Learning Engineer with 4 years of experience building and deploying ML systems. Expert in Python, PyTorch, and scikit-learn. Developed recommendation systems, fraud detection models, and NLP pipelines. Experienced in MLOps practices including model versioning with MLflow, A/B testing, and model monitoring. Familiar with Kubeflow and deploying models as REST APIs using FastAPI and Docker.","Site Reliability Engineer opening. Requirements: Kubernetes expertise, experience with service mesh technologies, strong incident response background, log management experience (ELK or similar), Python scripting, and on-call experience.",0,Machine Learning
db4f967c,R001,J001,"Senior Software Engineer with 6 years of experience in Python, Java, and JavaScript. Proficient in FastAPI, Django, React, and Node.js. Designed and deployed scalable microservices on AWS using Docker and Kubernetes. Strong background in SQL and NoSQL databases including PostgreSQL and MongoDB. Experienced in CI/CD pipelines with GitHub Actions and Jenkins. Contributed to open-source projects and led a team of 5 engineers.","We are looking for a Senior Software Engineer to join our backend team. Requirements: 5+ years Python and FastAPI experience, strong knowledge of Docker and Kubernetes, experience with MongoDB or PostgreSQL, familiarity with AWS cloud services, CI/CD pipeline experience, and excellent communication skills. Nice to have: React or Vue.js experience, microservices architecture knowledge.",1,Software Engineering
434972c5,R020,J027,"Data Engineer with 4 years of experience building ETL pipelines and data warehouses. Proficient in Apache Spark, Airflow, dbt, and Snowflake. Designed data models for analytics use cases. Experienced in streaming data with Apache Kafka. Familiar with AWS Glue, Redshift, and BigQuery. Strong SQL skills and experience with Python for data pipeline development.","Social Media Coordinator. Must have: social media management experience, content creation skills, scheduling tool proficiency (Hootsuite or Buffer), basic analytics knowledge. Canva or design tool familiarity helpful.",0,Database Administration
26602005,R032,J009,"UX/UI Designer with 5 years of experience designing digital products. Proficient in Figma, Sketch, and Adobe XD. Conducted user research, usability testing, and journey mapping. Designed responsive interfaces for web and mobile applications. Experience creating design systems and component libraries. Familiar with basic HTML/CSS for developer handoff. Strong understanding of accessibility standards.","Cloud Solutions Architect position. Requirements: 5+ years AWS experience, AWS Solutions Architect certification, serverless and container orchestration experience, Terraform or CloudFormation proficiency, experience with large-scale cloud migrations. Multi-cloud (Azure/GCP) experience is a plus.",0,Design
e91b66b4,R033,J033,"Graphic Designer with 4 years of experience in brand identity and print design. Proficient in Adobe Illustrator, Photoshop, and InDesign. Created visual assets for marketing campaigns, social media, and packaging. Strong typography and colour theory knowledge. Some experience with motion graphics using After Effects.","Graphic Designer. Must have: Adobe Creative Suite proficiency (Illustrator, Photoshop, InDesign), brand identity experience, strong typography skills, print and digital design experience. Motion graphics a plus.",1,Design
7e8b93f3,R021,J021,"Project Manager with 8 years of experience leading software development projects. PMP and Scrum Master certified. Managed cross-functional teams of 15+ members. Proficient in project planning, risk management, stakeholder communication, and budget management. Experienced with Jira, Confluence, and MS Project. Strong background in Agile and Waterfall methodologies. Delivered projects on time and within budget in financial and healthcare domains.","Senior Project Manager. Requirements: 6+ years software project management, PMP certification, Agile/Scrum experience, Jira and Confluence proficiency, stakeholder management, risk management experience. Healthcare or fintech background a plus.",1,Project Management
a2a6ca0d,R018,J004,"Manual QA Tester with 3 years of experience in functional, regression, and UAT testing. Proficient in creating detailed test cases and defect reports using Jira. Familiar with basic Selenium scripting. Experience testing web and mobile applications across browsers and devices. Understanding of SDLC and Agile testing methodologies.",Data Analyst role requiring 2+ years experience with Python and SQL. Strong pandas and data visualisation skills needed. Power BI or Tableau experience is essential. Statistical testing knowledge required. Basic ML understanding a plus.,0,Quality Assurance
c73ca0d2,R028,J028,"Financial Analyst with 4 years of experience in financial modelling, forecasting, and variance analysis. Proficient in Excel (advanced), Python for financial data analysis, and Bloomberg Terminal. Experience preparing management accounts, P&L analysis, and board presentations. CFA Level 2 candidate. Familiar with SQL for data extraction and Power BI for dashboards.","Financial Analyst. Requirements: financial modelling experience, advanced Excel, Python for financial analysis preferred, CFA progress beneficial, strong analytical and communication skills, experience with management accounts.",1,Finance
f8a1c894,R023,J023,"Business Analyst with 5 years of experience translating business requirements into technical specifications. Proficient in requirements gathering, process mapping, and gap analysis. Familiar with UML, BPMN, and user story writing. Experience working with development teams in Agile environments. Strong SQL skills for data analysis. Delivered solutions in banking and insurance domains.","Business Analyst needed. Required: requirements gathering, process mapping, UML or BPMN knowledge, user story writing, Agile team experience, SQL for data analysis. Banking or insurance domain experience preferred.",1,Business Analysis
45ebc518,R007,J007,"Cybersecurity Analyst with 4 years of experience in threat detection, vulnerability assessment, and incident response. Certified CompTIA Security+ and CEH. Proficient in SIEM tools including Splunk and IBM QRadar. Conducted penetration testing using Metasploit and Burp Suite. Performed network traffic analysis with Wireshark. Familiar with NIST and ISO 27001 frameworks. Experience with firewall configuration (Palo Alto, Cisco).","Cybersecurity Analyst role. Required: 3+ years in threat detection and incident response, SIEM tool proficiency (Splunk preferred), penetration testing experience, security certification (Security+, CEH, or equivalent), network security knowledge. NIST framework familiarity a plus.",1,Cybersecurity
f906e606,R008,J008,"Network Security Engineer with 6 years of experience designing and securing enterprise networks. Expert in firewall management, intrusion detection systems, and VPN configuration. Implemented zero-trust architecture for a 2,000-user organization. Familiar with OWASP Top 10 and conducted regular security audits. Holds CISSP certification. Experienced in Python scripting for security automation.","Network Security Engineer needed. Must have: firewall management experience, IDS/IPS knowledge, VPN configuration skills, CISSP or equivalent, zero-trust architecture experience, and security audit experience. Python scripting for security automation preferred.",1,Cybersecurity
1d4457ca,R036,J037,"Sales Executive with 5 years of experience in B2B SaaS sales. Consistently exceeded quota by 120%+ for 3 consecutive years. Proficient in Salesforce CRM, HubSpot, and outbound prospecting tools (Outreach, Apollo). Experience managing enterprise accounts and conducting product demonstrations. Strong negotiation and relationship-building skills. Background in technical pre-sales.","Inside Sales Representative. Must have: outbound sales experience, Salesforce or CRM proficiency, cold outreach skills, pipeline management. Customer service background acceptable.",1,Sales
2478bc24,R030,J004,"HR Business Partner with 6 years of experience supporting talent acquisition, employee relations, and HR strategy. Proficient in applicant tracking systems (Workday, Greenhouse). Experience in competency-based interviewing, performance management, and learning & development. Familiar with employment law and HR compliance. Strong communication and coaching skills.",Data Analyst role requiring 2+ years experience with Python and SQL. Strong pandas and data visualisation skills needed. Power BI or Tableau experience is essential. Statistical testing knowledge required. Basic ML understanding a plus.,0,Human Resources
ae2336df,R013,J013,"Frontend Developer with 4 years of experience building responsive web applications. Expert in React, TypeScript, and Next.js. Proficient in CSS/Sass, Tailwind CSS, and design systems. Implemented accessibility (WCAG 2.1) and performance optimisations achieving 95+ Lighthouse scores. Familiar with GraphQL and REST API integration. Experience with testing using Jest and Cypress. Collaborated closely with UX designers.","Senior Frontend Developer. Requirements: 3+ years React and TypeScript, Next.js experience, performance optimisation skills, accessibility knowledge (WCAG), testing experience (Jest, Cypress), design system experience preferred.",1,Frontend Development
c7a416d1,R034,J035,"Corporate Lawyer with 6 years of experience in mergers & acquisitions, contract negotiation, and commercial law. Admitted to the bar in England and Wales. Experience drafting shareholder agreements, NDAs, and service contracts. Familiar with GDPR compliance and IP law. Proficient in legal research using LexisNexis and Westlaw.","Paralegal. Must have: litigation or corporate support experience, legal document preparation skills, court filing experience, e-discovery platform familiarity, strong research and writing abilities.",1,Legal
50c13d6a,R012,J011,"AI Research Scientist with PhD in Computer Science. Specialised in deep learning, natural language processing, and computer vision. Published 8 peer-reviewed papers on transformer architectures and multimodal learning. Proficient in Python, TensorFlow, JAX, and Hugging Face Transformers. Experience fine-tuning large language models. Strong mathematical background in linear algebra, calculus, and probability theory.","ML Engineer required. Must have: Python, PyTorch, production ML system experience, MLOps practices (MLflow or similar), API deployment experience (FastAPI, Flask), containerisation with Docker. NLP or computer vision background a plus.",1,Machine Learning
824dec1e,R019,J019,"Database Administrator with 6 years of experience managing PostgreSQL, MySQL, and Oracle databases. Expert in query optimisation, index management, and database design. Implemented database replication, backup strategies, and disaster recovery plans. Familiar with MongoDB and Redis for NoSQL use cases. Proficient in PL/SQL and Python scripting for automation. Experience with database performance monitoring tools.","Database Administrator needed with 4+ years experience. Required: PostgreSQL or Oracle expertise, query optimisation, backup and recovery, replication management. MongoDB experience a plus. Python or PL/SQL scripting needed.",1,Database Administration
bccc6829,R029,J028,"Accounts Payable Specialist with 3 years of experience processing invoices, reconciling statements, and managing vendor relationships. Proficient in SAP and QuickBooks. Strong attention to detail and experience with month-end close activities. Basic Excel skills for reporting.","Financial Analyst. Requirements: financial modelling experience, advanced Excel, Python for financial analysis preferred, CFA progress beneficial, strong analytical and communication skills, experience with management accounts.",1,Finance
4767e34f,R004,J036,"Junior Data Analyst with 2 years of experience in data wrangling and visualisation. Proficient in Python, pandas, NumPy, and Matplotlib. Created dashboards in Power BI and Tableau. Performed A/B testing and statistical hypothesis testing. Familiar with basic machine learning concepts including linear regression and decision trees. Experience with SQL queries on large relational databases.","B2B Sales Executive. Requirements: 3+ years B2B SaaS sales experience, Salesforce CRM proficiency, quota achievement history, enterprise account management, strong negotiation skills. Technical pre-sales experience valued.",0,Data Science
e57f8809,R016,J015,"Flutter Developer with 2 years of experience building cross-platform mobile apps. Proficient in Dart and the Flutter framework. Built e-commerce and fintech apps deployed to both iOS and Android. Familiar with state management using Riverpod and Bloc. Experience integrating payment gateways (Stripe, PayPal) and Firebase services.","Senior Mobile Developer needed. Requirements: 4+ years iOS and/or Android development, Swift/Kotlin or React Native proficiency, App Store/Play Store publishing experience, REST API integration skills, CI/CD for mobile (Fastlane preferred).",1,Mobile Development
4d936493,R032,J033,"UX/UI Designer with 5 years of experience designing digital products. Proficient in Figma, Sketch, and Adobe XD. Conducted user research, usability testing, and journey mapping. Designed responsive interfaces for web and mobile applications. Experience creating design systems and component libraries. Familiar with basic HTML/CSS for developer handoff. Strong understanding of accessibility standards.","Graphic Designer. Must have: Adobe Creative Suite proficiency (Illustrator, Photoshop, InDesign), brand identity experience, strong typography skills, print and digital design experience. Motion graphics a plus.",1,Design
352a7f5b,R037,J037,Inside Sales Representative with 2 years of experience in lead generation and outbound calling. Proficient in Salesforce and ZoomInfo. Experience with cold email campaigns and pipeline management. Met or exceeded monthly activity KPIs. Background in customer service and retail sales.,"Inside Sales Representative. Must have: outbound sales experience, Salesforce or CRM proficiency, cold outreach skills, pipeline management. Customer service background acceptable.",1,Sales
de9ac68d,R005,J006,"DevOps Engineer with 5 years of experience automating infrastructure and CI/CD pipelines. Expert in Docker, Kubernetes, Terraform, and Ansible. Managed cloud infrastructure on AWS and GCP including EC2, S3, EKS, and CloudFormation. Implemented monitoring with Prometheus and Grafana. Reduced deployment times by 60% through pipeline automation. Experienced in Linux system administration and shell scripting.","Site Reliability Engineer opening. Requirements: Kubernetes expertise, experience with service mesh technologies, strong incident response background, log management experience (ELK or similar), Python scripting, and on-call experience.",1,DevOps
9b2d3624,R017,J018,"QA Engineer with 4 years of experience in manual and automated testing. Proficient in Selenium WebDriver, Cypress, and Playwright for UI automation. Experienced in API testing with Postman and RestAssured. Familiar with performance testing using JMeter. Writes test plans, test cases, and bug reports. Experience with pytest and JUnit for backend unit testing. ISTQB certified.","Manual QA Tester. Required: functional and regression testing experience, defect reporting skills, Jira proficiency, web and mobile application testing. Basic automation knowledge is a plus. Agile testing experience required.",1,Quality Assurance
c009a1d5,R028,J018,"Financial Analyst with 4 years of experience in financial modelling, forecasting, and variance analysis. Proficient in Excel (advanced), Python for financial data analysis, and Bloomberg Terminal. Experience preparing management accounts, P&L analysis, and board presentations. CFA Level 2 candidate. Familiar with SQL for data extraction and Power BI for dashboards.","Manual QA Tester. Required: functional and regression testing experience, defect reporting skills, Jira proficiency, web and mobile application testing. Basic automation knowledge is a plus. Agile testing experience required.",0,Finance
a54d7de9,R035,J035,"Paralegal with 3 years of experience supporting litigation and corporate teams. Skilled in legal document preparation, case management, and court filing. Experience with e-discovery platforms (Relativity). Strong research and writing skills. Familiar with contract management systems.","Paralegal. Must have: litigation or corporate support experience, legal document preparation skills, court filing experience, e-discovery platform familiarity, strong research and writing abilities.",1,Legal
9f80d3b8,R015,J015,"Mobile Developer with 5 years of experience in iOS and Android development. Expert in Swift, SwiftUI, Kotlin, and React Native. Published 6 apps to App Store and Google Play with 100k+ combined downloads. Proficient in RESTful API integration, Core Data, and SQLite for local storage. Experience with push notifications, deep linking, and in-app purchases. Familiar with CI/CD for mobile using Fastlane.","Senior Mobile Developer needed. Requirements: 4+ years iOS and/or Android development, Swift/Kotlin or React Native proficiency, App Store/Play Store publishing experience, REST API integration skills, CI/CD for mobile (Fastlane preferred).",1,Mobile Development
aeaf0079,R024,J024,"Systems Analyst with 3 years of experience analysing existing systems and recommending improvements. Skilled in stakeholder interviews, workflow documentation, and functional specification writing. Familiar with ERP systems (SAP, Oracle). Experience in data modelling and basic SQL reporting.","Systems Analyst role. Must have: systems analysis experience, stakeholder interviewing skills, functional specification writing, ERP system knowledge (SAP preferred), data modelling basics.",1,Business Analysis
f2daead0,R007,J025,"Cybersecurity Analyst with 4 years of experience in threat detection, vulnerability assessment, and incident response. Certified CompTIA Security+ and CEH. Proficient in SIEM tools including Splunk and IBM QRadar. Conducted penetration testing using Metasploit and Burp Suite. Performed network traffic analysis with Wireshark. Familiar with NIST and ISO 27001 frameworks. Experience with firewall configuration (Palo Alto, Cisco).","Health Informatics Specialist required. Must have: EHR implementation experience, HL7 FHIR knowledge, HIPAA compliance familiarity, clinical data management, Python for data processing. Epic or Cerner experience strongly preferred.",0,Cybersecurity
2edabb18,R003,J004,"Data Scientist with 5 years of experience in machine learning and statistical modelling. Skilled in Python, scikit-learn, PyTorch, and TensorFlow. Developed NLP models for text classification and sentiment analysis. Experienced in data preprocessing, feature engineering, and model evaluation using precision, recall, F1, and ROC-AUC. Published research on transformer-based text models. Familiar with SQL and Spark.",Data Analyst role requiring 2+ years experience with Python and SQL. Strong pandas and data visualisation skills needed. Power BI or Tableau experience is essential. Statistical testing knowledge required. Basic ML understanding a plus.,1,Data Science
54665403,R040,J040,"Mechanical Engineer with 5 years of experience in product design and manufacturing. Proficient in SolidWorks and AutoCAD for 3D modelling and technical drawings. Experience with FEA analysis using ANSYS. Familiar with GD&T, tolerance analysis, and DFM principles. Background in injection moulding and CNC machining. Experience leading supplier qualification processes.","Mechanical Engineer. Requirements: 4+ years mechanical design experience, SolidWorks or AutoCAD proficiency, FEA analysis experience (ANSYS preferred), GD&T knowledge, manufacturing process familiarity. Injection moulding experience a plus.",1,Engineering
2e5a2cb1,R035,J034,"Paralegal with 3 years of experience supporting litigation and corporate teams. Skilled in legal document preparation, case management, and court filing. Experience with e-discovery platforms (Relativity). Strong research and writing skills. Familiar with contract management systems.","Corporate Lawyer. Requirements: 5+ years corporate law experience, bar admission required, M&A and contract negotiation experience, GDPR familiarity, strong drafting skills, legal research proficiency.",1,Legal
948c7352,R020,J020,"Data Engineer with 4 years of experience building ETL pipelines and data warehouses. Proficient in Apache Spark, Airflow, dbt, and Snowflake. Designed data models for analytics use cases. Experienced in streaming data with Apache Kafka. Familiar with AWS Glue, Redshift, and BigQuery. Strong SQL skills and experience with Python for data pipeline development.","Data Engineer position. Must have: Spark, Airflow, and SQL expertise, data warehouse experience (Snowflake, Redshift, or BigQuery), ETL/ELT pipeline design, Kafka or streaming data experience. Python required.",1,Database Administration
48ea998f,R026,J026,"Digital Marketing Manager with 5 years of experience in SEO, SEM, and content marketing. Proficient in Google Analytics, Google Ads, and Meta Ads Manager. Managed marketing budgets of $500k+. Experience with email marketing platforms (Mailchimp, HubSpot) and CRM systems (Salesforce). Strong data analysis skills for campaign performance optimisation. Background in copywriting and brand management.","Digital Marketing Manager needed. Requirements: SEO/SEM expertise, Google Analytics and Google Ads proficiency, budget management experience, email marketing tools, CRM experience (Salesforce preferred), strong analytical skills.",1,Marketing
e4e9a980,R018,J018,"Manual QA Tester with 3 years of experience in functional, regression, and UAT testing. Proficient in creating detailed test cases and defect reports using Jira. Familiar with basic Selenium scripting. Experience testing web and mobile applications across browsers and devices. Understanding of SDLC and Agile testing methodologies.","Manual QA Tester. Required: functional and regression testing experience, defect reporting skills, Jira proficiency, web and mobile application testing. Basic automation knowledge is a plus. Agile testing experience required.",1,Quality Assurance
868a2373,R009,J009,"Cloud Solutions Architect with 7 years of experience on AWS and Azure. AWS Certified Solutions Architect Professional. Designed multi-region, fault-tolerant architectures handling 10M+ requests/day. Proficient in serverless computing (Lambda, Azure Functions), containerisation (ECS, EKS), and infrastructure-as-code (Terraform, CloudFormation). Led cloud migration projects moving on-premise workloads to AWS.","Cloud Solutions Architect position. Requirements: 5+ years AWS experience, AWS Solutions Architect certification, serverless and container orchestration experience, Terraform or CloudFormation proficiency, experience with large-scale cloud migrations. Multi-cloud (Azure/GCP) experience is a plus.",1,Cloud Computing
af0afdf4,R034,J034,"Corporate Lawyer with 6 years of experience in mergers & acquisitions, contract negotiation, and commercial law. Admitted to the bar in England and Wales. Experience drafting shareholder agreements, NDAs, and service contracts. Familiar with GDPR compliance and IP law. Proficient in legal research using LexisNexis and Westlaw.","Corporate Lawyer. Requirements: 5+ years corporate law experience, bar admission required, M&A and contract negotiation experience, GDPR familiarity, strong drafting skills, legal research proficiency.",1,Legal
e759646c,R018,J017,"Manual QA Tester with 3 years of experience in functional, regression, and UAT testing. Proficient in creating detailed test cases and defect reports using Jira. Familiar with basic Selenium scripting. Experience testing web and mobile applications across browsers and devices. Understanding of SDLC and Agile testing methodologies.","QA Engineer. Requirements: automated testing experience with Selenium or Cypress, API testing proficiency, performance testing familiarity, test plan and test case writing skills, ISTQB certification preferred.",1,Quality Assurance
b471d384,R008,J019,"Network Security Engineer with 6 years of experience designing and securing enterprise networks. Expert in firewall management, intrusion detection systems, and VPN configuration. Implemented zero-trust architecture for a 2,000-user organization. Familiar with OWASP Top 10 and conducted regular security audits. Holds CISSP certification. Experienced in Python scripting for security automation.","Database Administrator needed with 4+ years experience. Required: PostgreSQL or Oracle expertise, query optimisation, backup and recovery, replication management. MongoDB experience a plus. Python or PL/SQL scripting needed.",0,Cybersecurity
7d018463,R004,J004,"Junior Data Analyst with 2 years of experience in data wrangling and visualisation. Proficient in Python, pandas, NumPy, and Matplotlib. Created dashboards in Power BI and Tableau. Performed A/B testing and statistical hypothesis testing. Familiar with basic machine learning concepts including linear regression and decision trees. Experience with SQL queries on large relational databases.",Data Analyst role requiring 2+ years experience with Python and SQL. Strong pandas and data visualisation skills needed. Power BI or Tableau experience is essential. Statistical testing knowledge required. Basic ML understanding a plus.,1,Data Science
9d11508d,R022,J022,"Junior Project Coordinator with 2 years of experience supporting software delivery. Familiar with Agile/Scrum ceremonies and Jira for task tracking. Assisted in sprint planning, retrospectives, and stakeholder updates. Strong communication and organisational skills. Background in business administration.","Project Coordinator. Must have Agile/Scrum familiarity, Jira experience, strong communication skills. Entry to mid-level role. Business administration background acceptable.",1,Project Management
e8141947,R035,J003,"Paralegal with 3 years of experience supporting litigation and corporate teams. Skilled in legal document preparation, case management, and court filing. Experience with e-discovery platforms (Relativity). Strong research and writing skills. Familiar with contract management systems.","Data Scientist needed with 3+ years of experience in machine learning. Required: Python, scikit-learn, PyTorch or TensorFlow, NLP experience, strong understanding of model evaluation metrics (F1, ROC-AUC, precision, recall), SQL proficiency. PhD or relevant research experience preferred.",0,Legal
b802b9da,R001,J017,"Senior Software Engineer with 6 years of experience in Python, Java, and JavaScript. Proficient in FastAPI, Django, React, and Node.js. Designed and deployed scalable microservices on AWS using Docker and Kubernetes. Strong background in SQL and NoSQL databases including PostgreSQL and MongoDB. Experienced in CI/CD pipelines with GitHub Actions and Jenkins. Contributed to open-source projects and led a team of 5 engineers.","QA Engineer. Requirements: automated testing experience with Selenium or Cypress, API testing proficiency, performance testing familiarity, test plan and test case writing skills, ISTQB certification preferred.",0,Software Engineering
998fc302,R014,J014,"UI Developer with 2 years of experience in Vue.js and Angular. Proficient in HTML, CSS, JavaScript, and Bootstrap. Built interactive dashboards consuming REST APIs. Familiar with Webpack and Vite build tools. Experience with Figma for design handoff and basic UI/UX principles. Worked in cross-functional Agile teams.","Frontend Developer role. Must have HTML, CSS, JavaScript experience. React or Vue.js preferred. Experience with modern build tools (Webpack, Vite). Figma design handoff experience useful. Agile team experience expected.",1,Frontend Development
